month_date,avg_monthly_debt,cpi_index,u3_rate,u6_rate,lfpr_rate,not_in_labor_force,long_term_unemp_count,long_term_unemp_pct,job_openings_rate,quits_rate,initial_claims_monthly_avg,continued_claims_monthly_avg
2008-01-01,9238008288942.11,212.174,5.0,9.1,66.2,78554.0,1388.0,18.5,3.2,2.1,338750.0,2798750.0
2008-02-01,9358051423747.64,212.687,4.9,9.0,66.0,79156.0,1329.0,17.8,3.0,2.1,346750.0,2844250.0
2008-03-01,9437594138091.39,213.448,5.1,9.1,66.1,79087.0,1323.0,16.9,3.0,1.9,363400.0,2912800.0
2008-04-01,9377557217133.44,213.942,5.0,9.2,65.9,79429.0,1372.0,17.7,2.8,2.1,359500.0,2964000.0
2008-05-01,9388666879582.79,215.208,5.4,9.7,66.1,79102.0,1561.0,18.3,3.0,1.9,366800.0,3013600.0
2008-06-01,9492006123003.8,217.463,5.6,10.0,66.1,79314.0,1576.0,18.2,2.7,1.9,383250.0,3057750.0
2008-07-01,9585479639200.33,219.016,5.8,10.5,66.1,79395.0,1664.0,18.9,2.7,1.8,398000.0,3176250.0
2008-08-01,9645725555640.02,218.69,6.1,10.8,66.1,79466.0,1866.0,19.8,2.6,1.8,433000.0,3378000.0
2008-09-01,10024724896912.49,218.877,6.1,11.1,66.0,79790.0,2027.0,21.3,2.3,1.8,464000.0,3521750.0
2008-10-01,10574094462968.23,216.995,6.5,11.8,66.0,79736.0,2280.0,22.3,2.4,1.7,475250.0,3731000.0
2008-11-01,10661174903807.68,213.153,6.8,12.7,65.9,80189.0,2219.0,21.1,2.3,1.6,519800.0,4096600.0
2008-12-01,10699804864612.13,211.398,7.3,13.6,65.8,80380.0,2610.0,23.1,2.3,1.5,564000.0,4522250.0
2009-01-01,10632005246736.97,211.933,7.8,14.1,65.7,80529.0,2699.0,22.6,2.0,1.5,572000.0,4861200.0
2009-02-01,10877144501237.52,212.705,8.3,15.1,65.8,80374.0,2999.0,23.4,2.1,1.5,644000.0,5297000.0
2009-03-01,11126941485713.37,212.495,8.7,15.8,65.6,80953.0,3260.0,24.2,1.9,1.4,659250.0,5765750.0
2009-04-01,11238592141958.64,212.709,9.0,15.9,65.7,80762.0,3752.0,27.1,1.7,1.3,627750.0,6184500.0
2009-05-01,11321599905356.4,213.022,9.4,16.5,65.7,80705.0,3973.0,27.0,1.9,1.3,612000.0,6525600.0
2009-06-01,11545275346431.39,214.79,9.5,16.5,65.7,80938.0,4349.0,29.0,1.9,1.3,598250.0,6534250.0
2009-07-01,11669251349504.65,214.726,9.5,16.4,65.5,81367.0,4917.0,34.0,1.7,1.3,566500.0,6139000.0
2009-08-01,11812870150873.53,215.445,9.6,16.7,65.4,81780.0,5037.0,34.3,1.8,1.2,559200.0,6047800.0
2009-09-01,11909829003511.75,215.861,9.8,16.7,65.1,82495.0,5494.0,36.6,1.9,1.2,547500.0,5984750.0
2009-10-01,11893091028361.01,216.509,10.0,17.1,65.0,82766.0,5643.0,36.6,1.8,1.3,525400.0,5765600.0
2009-11-01,12113047538115.42,217.234,9.9,17.1,65.0,82865.0,5908.0,39.3,1.9,1.4,494000.0,5460500.0
2009-12-01,12311349677512.03,217.347,9.9,17.2,64.6,83813.0,6122.0,40.4,1.9,1.4,485500.0,5141750.0
2010-01-01,12278635997966.88,217.488,9.8,16.6,64.8,83349.0,6319.0,41.6,2.1,1.3,479800.0,4839000.0
2010-02-01,12440068020714.47,217.281,9.8,17.0,64.9,83304.0,6129.0,40.5,2.0,1.4,485750.0,4793750.0
2010-03-01,12773123096139.43,217.353,9.9,17.1,64.9,83206.0,6545.0,43.2,2.0,1.4,470250.0,4731750.0
2010-04-01,12948738915856.86,217.403,9.9,17.2,65.2,82707.0,6800.0,45.5,2.4,1.5,469000.0,4728000.0
2010-05-01,12992539130957.22,217.29,9.6,16.7,64.9,83409.0,6638.0,44.9,2.2,1.4,459400.0,4674800.0
2010-06-01,13203473753968.1,217.199,9.4,16.4,64.6,84075.0,6623.0,44.9,2.1,1.5,460500.0,4583250.0
2010-07-01,13237726976890.03,217.605,9.4,16.4,64.6,84199.0,6506.0,44.9,2.3,1.4,459200.0,4528600.0
2010-08-01,13449652537035.05,217.923,9.5,16.5,64.7,84014.0,6259.0,42.8,2.2,1.4,475000.0,4461250.0
2010-09-01,13561623030891.79,218.275,9.5,16.9,64.6,84347.0,6163.0,42.3,2.2,1.5,453500.0,4467750.0
2010-10-01,13668825497341.36,219.035,9.4,16.6,64.4,84895.0,6227.0,42.6,2.4,1.4,446800.0,4363400.0
2010-11-01,13860773759018.43,219.59,9.8,16.9,64.6,84590.0,6326.0,42.4,2.4,1.4,426250.0,4195500.0
2010-12-01,14025215218708.52,220.472,9.3,16.6,64.3,85240.0,6429.0,44.6,2.3,1.5,420250.0,4100000.0
2011-01-01,14131051056010.84,221.187,9.1,16.1,64.2,85441.0,6175.0,43.8,2.3,1.4,426800.0,3918400.0
2011-02-01,14194764339462.64,221.898,9.0,16.0,64.1,85637.0,5892.0,42.8,2.4,1.5,401500.0,3849250.0
2011-03-01,14270114530800.38,223.046,9.0,16.0,64.2,85623.0,6105.0,44.6,2.4,1.5,406000.0,3765500.0
2011-04-01,14287630052323.12,224.093,9.1,16.1,64.2,85603.0,5925.0,43.0,2.4,1.4,420600.0,3770800.0
2011-05-01,14344668281211.01,224.806,9.0,15.9,64.1,85834.0,6153.0,44.7,2.4,1.5,422500.0,3773750.0
2011-06-01,14343087640008.4,224.806,9.1,16.1,64.0,86144.0,6271.0,44.6,2.6,1.5,418250.0,3741750.0
2011-07-01,14342369286195.61,225.395,9.0,15.9,64.0,86383.0,6195.0,45.1,2.7,1.5,412600.0,3721600.0
2011-08-01,14684292994743.93,226.106,9.0,16.1,64.1,86111.0,6048.0,43.6,2.5,1.5,409500.0,3716000.0
2011-09-01,14790340328557.15,226.597,9.0,16.4,64.2,85940.0,6304.0,45.2,2.8,1.5,417750.0,3742750.0
2011-10-01,14993709044140.78,226.75,8.8,15.8,64.1,86308.0,5838.0,42.6,2.7,1.5,402400.0,3701600.0
2011-11-01,15110498560876.77,227.169,8.6,15.6,64.1,86312.0,5698.0,43.2,2.6,1.5,389250.0,3652500.0
